,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
2739,327670,Ironcast,Indie,14.99,17122,0,0,14268,8,0.125,0.0,0.0,1491,0.02481556002682763,0.007377598926894702,0.1891348088531187,0.32489451476793246,5.219409282700422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
3832,1896390,Stickman Trenches,Indie,5.99,17872,0,0,16755,17,0.11764705882352941,0.0,0.058823529411764705,1061,0.0235626767200754,0.001885014137606032,0.18001885014137606,0.3235294117647059,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10567,1227570,Lotus Reverie: First Nexus,Indie,15.99,775,22,0,505,26,0.15384615384615385,0.0,0.15384615384615385,4024,0.014662027833001988,0.0,0.20526838966202784,0.44321329639889195,4.552631578947368,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1353,1321680,Hello Neighbor 2,AA,39.99,29104,2,1,15054,16,0.125,0.0625,0.125,731,0.030095759233926128,0.0013679890560875513,0.19015047879616964,0.39166666666666666,5.091666666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
274,784080,MechWarrior 5: Mercenaries,Indie,29.99,53469,0,0,44558,26,0.11538461538461539,0.038461538461538464,0.11538461538461539,3862,0.041429311237700675,0.0020714655618850335,0.20170895908855516,0.400329489291598,5.220757825370676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
9547,1163560,SuperEpic: The Entertainment War,Indie,13.49,497,5,0,355,32,0.15625,0.0,0.125,2327,0.035668242372152985,0.0034379028792436614,0.18521701761925224,0.34806629834254144,5.417127071823204,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1625,1237980,STAR WARS™ Battlefront,AAA,19.99,11047,1,0,6498,22,0.4090909090909091,0.0,0.13636363636363635,2263,0.06009721608484313,0.002209456473707468,0.1873619089703933,0.2853185595567867,5.254847645429363,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
6653,1247360,Grand Mountain Adventure: Wonderlands,Indie,19.99,1855,4,0,1070,37,0.10810810810810811,0.0,0.10810810810810811,1148,0.037456445993031356,0.003484320557491289,0.1916376306620209,0.34782608695652173,5.2228260869565215,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
9633,345710,Damned Nation Reborn,Indie,12.99,382,0,0,239,20,0.15,0.0,0.1,1327,0.01733232856066315,0.0,0.2908816880180859,0.4549763033175355,4.943127962085308,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9845,803150,Nephise: Ascension,Indie,4.99,917,0,0,834,18,0.1111111111111111,0.0,0.1111111111111111,1387,0.024513338139870222,0.0,0.18889689978370583,0.3656387665198238,5.11453744493392,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
