,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
1053,572890,Pikuniku,AA,12.99,9106,1,0,7588,8,0.125,0.0,0.0,793,0.01639344262295082,0.0025220680958385876,0.18032786885245902,0.384,5.328,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
215,599140,Graveyard Keeper,AA,19.99,240882,1,0,153754,16,0.125,0.0,0.0625,1160,0.016379310344827588,0.0,0.19913793103448277,0.39487179487179486,4.933333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
7063,330420,The Interactive Adventures of Dog Mendonça & Pizzaboy®,Indie,19.99,1175,0,0,597,54,0.1111111111111111,0.0,0.16666666666666666,2057,0.024307243558580455,0.0009722897423432182,0.180359747204667,0.33865814696485624,5.568690095846645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4401,738550,Spike Volleyball,AA,19.99,1658,0,0,957,16,0.125,0.0,0.0625,593,0.011804384485666104,0.00505902192242833,0.18887015177065766,0.3626373626373626,5.472527472527473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
332,1211630,The Jackbox Party Pack 7,Indie,23.99,121449,5,1,86749,24,0.16666666666666666,0.041666666666666664,0.16666666666666666,1252,0.04153354632587859,0.013578274760383386,0.21485623003194887,0.24271844660194175,5.077669902912621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
5320,814530,Death Crown,Indie,9.99,2572,3,0,1978,11,0.18181818181818182,0.0,0.09090909090909091,1603,0.032439176543980035,0.0012476606363069245,0.2033686837180287,0.39855072463768115,4.786231884057971,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
4457,1542790,SRX: The Game,Indie,39.99,1656,0,0,1461,13,0.38461538461538464,0.0,0.23076923076923078,1669,0.06111443978430198,0.009586578789694428,0.21749550629119233,0.2952029520295203,5.007380073800738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
3288,705280,Hakoniwa Explorer Plus,AA,9.99,14085,18,0,7546,22,0.13636363636363635,0.0,0.09090909090909091,2907,0.025111799105607156,0.0003439972480220158,0.19883040935672514,0.3179916317991632,5.071129707112971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7907,444180,Techwars Online,Indie,9.99,2987,0,0,1991,15,0.13333333333333333,0.0,0.06666666666666667,1850,0.021621621621621623,0.0,0.19135135135135134,0.36577181208053694,5.181208053691275,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
9154,1508750,Xuan-Yuan Sword: Dance of the Maple Leaves,Indie,4.99,3365,0,0,1905,42,0.14285714285714285,0.0,0.19047619047619047,1380,0.0036231884057971015,0.004347826086956522,0.12246376811594203,0.08333333333333333,37.361111111111114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
